[[1, 2, 3, 4], [5, 6, 7, 8], [9, 10, 11, 12], [13, 14, 15, 16]]
[[1, 3, 12, 13], [2, 4, 9, 15], [6, 8, 11, 16], [5, 7, 10, 14]]
[[1, 5, 9, 15], [2, 6, 13, 16], [3, 7, 11, 14], [4, 8, 10, 12]]
[[1, 6, 12, 14], [2, 7, 9, 16], [3, 8, 10, 15], [4, 5, 11, 13]]
[[1, 2, 8, 11], [3, 4, 6, 14], [7, 10, 13, 15], [5, 9, 12, 16]]
[[1, 6, 9, 10], [2, 5, 11, 14], [3, 8, 15, 16], [4, 7, 12, 13]]
[[1, 5, 8, 13], [2, 12, 14, 15], [3, 6, 7, 9], [4, 10, 11, 16]]
[[1, 4, 7, 16], [2, 3, 5, 10], [6, 11, 12, 15], [8, 9, 13, 14]]
[[1, 7, 11, 15], [2, 6, 10, 13], [3, 5, 12, 16], [4, 8, 9, 14]]
[[1, 10, 14, 16], [2, 7, 8, 12], [3, 9, 11, 13], [4, 5, 6, 15]]

c optimal, every matchup occurs twice.
