[[1, 2, 3], [4, 5, 6], [7, 8, 9], [10, 11, 12], [13, 14, 15]]
[[1, 3, 11], [2, 7, 14], [8, 12, 15], [4, 5, 9], [6, 10, 13]]
[[1, 9, 14], [2, 3, 15], [4, 12, 13], [5, 6, 8], [7, 10, 11]]
[[1, 7, 15], [2, 4, 12], [3, 5, 10], [6, 9, 13], [8, 11, 14]]
[[1, 8, 12], [2, 9, 10], [3, 6, 7], [4, 14, 15], [5, 11, 13]]
[[1, 5, 11], [2, 8, 13], [3, 12, 14], [4, 7, 10], [6, 9, 15]]
[[1, 6, 10], [2, 5, 12], [3, 7, 8], [4, 13, 14], [9, 11, 15]]
[[1, 6, 14], [2, 4, 11], [3, 8, 9], [5, 10, 15], [7, 12, 13]]
[[1, 4, 8], [2, 6, 11], [3, 13, 15], [9, 10, 12], [5, 7, 14]]
[[1, 2, 13], [6, 11, 12], [3, 4, 9], [5, 7, 15], [8, 10, 14]]

c optimal by MILP
